,median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,rooms_per_household,bedrooms_per_household,pop_per_household,pop_per_bedroom
0,452600.0,8.3252,41.0,880.0,129.0,322.0,126.0,37.88,-122.23,6.984126984126984,1.0238095238095237,2.5555555555555554,2.496124031007752
1,358500.0,8.3014,21.0,7099.0,1106.0,2401.0,1138.0,37.86,-122.22,6.238137082601054,0.9718804920913884,2.109841827768014,2.170886075949367
2,352100.0,7.257399999999999,52.0,1467.0,190.0,496.0,177.0,37.85,-122.24,8.288135593220339,1.073446327683616,2.8022598870056497,2.610526315789474
3,341300.0,5.6431,52.0,1274.0,235.0,558.0,219.0,37.85,-122.25,5.8173515981735155,1.0730593607305936,2.547945205479452,2.374468085106383
4,342200.0,3.8462,52.0,1627.0,280.0,565.0,259.0,37.85,-122.25,6.281853281853282,1.0810810810810811,2.1814671814671813,2.017857142857143
5,269700.0,4.0368,52.0,919.0,213.0,413.0,193.0,37.85,-122.25,4.761658031088083,1.1036269430051813,2.139896373056995,1.9389671361502347
6,299200.0,3.6591,52.0,2535.0,489.0,1094.0,514.0,37.84,-122.25,4.9319066147859925,0.9513618677042801,2.1284046692607004,2.2372188139059306
7,241400.0,3.12,52.0,3104.0,687.0,1157.0,647.0,37.84,-122.25,4.797527047913447,1.061823802163833,1.7882534775888717,1.6841339155749635
8,226700.0,2.0804,42.0,2555.0,665.0,1206.0,595.0,37.84,-122.26,4.294117647058823,1.1176470588235294,2.026890756302521,1.8135338345864662
9,261100.0,3.6912,52.0,3549.0,707.0,1551.0,714.0,37.84,-122.25,4.970588235294118,0.9901960784313726,2.172268907563025,2.1937765205091937
10,281500.0,3.2031,52.0,2202.0,434.0,910.0,402.0,37.85,-122.26,5.477611940298507,1.0796019900497513,2.263681592039801,2.096774193548387
11,241800.0,3.2705,52.0,3503.0,752.0,1504.0,734.0,37.85,-122.26,4.772479564032698,1.0245231607629428,2.0490463215258856,2.0
12,213500.0,3.075,52.0,2491.0,474.0,1098.0,468.0,37.85,-122.26,5.322649572649572,1.0128205128205128,2.3461538461538463,2.3164556962025316
13,191300.0,2.6736,52.0,696.0,191.0,345.0,174.0,37.84,-122.26,4.0,1.0977011494252873,1.9827586206896552,1.806282722513089
14,159200.0,1.9167,52.0,2643.0,626.0,1212.0,620.0,37.85,-122.26,4.262903225806451,1.0096774193548388,1.9548387096774194,1.9361022364217253
15,140000.0,2.125,50.0,1120.0,283.0,697.0,264.0,37.85,-122.26,4.242424242424242,1.071969696969697,2.640151515151515,2.462897526501767
16,152500.0,2.775,52.0,1966.0,347.0,793.0,331.0,37.85,-122.27,5.9395770392749245,1.0483383685800605,2.395770392749245,2.2853025936599423
17,155500.0,2.1202,52.0,1228.0,293.0,648.0,303.0,37.85,-122.27,4.052805280528053,0.966996699669967,2.1386138613861387,2.21160409556314
18,158700.0,1.9911,50.0,2239.0,455.0,990.0,419.0,37.84,-122.26,5.343675417661098,1.0859188544152745,2.3627684964200477,2.1758241758241756
19,162900.0,2.6033,52.0,1503.0,298.0,690.0,275.0,37.84,-122.27,5.465454545454546,1.0836363636363637,2.5090909090909093,2.315436241610738
20,147500.0,1.3578,40.0,751.0,184.0,409.0,166.0,37.85,-122.27,4.524096385542169,1.108433734939759,2.463855421686747,2.222826086956522
21,159800.0,1.7135,42.0,1639.0,367.0,929.0,366.0,37.85,-122.27,4.478142076502732,1.0027322404371584,2.5382513661202184,2.5313351498637604
22,113900.0,1.725,52.0,2436.0,541.0,1015.0,478.0,37.84,-122.27,5.096234309623431,1.1317991631799162,2.1234309623430963,1.8761552680221811
23,99700.0,2.1806,52.0,1688.0,337.0,853.0,325.0,37.84,-122.27,5.193846153846154,1.0369230769230768,2.624615384615385,2.5311572700296736
24,132600.0,2.6,52.0,2224.0,437.0,1006.0,422.0,37.84,-122.27,5.270142180094787,1.0355450236966826,2.3838862559241707,2.3020594965675056
